Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_007429,Agtr2,-,-,-,-,-,-0.052 ,0.030 ,0.010 ,0.170 ,0.233 ,0,0,0,0,0,0,0,0,0
NM_027591,Dmrtc1a,-,-,-,-,-,0.109 ,0.063 ,0.037 ,-0.336 ,-0.254 ,0,0,0,0,0,0,0,0,0
NM_016710,Nsbp1,18,239,0.170 ,0.084 ,0.264 ,-0.214 ,0.026 ,0.054 ,0.071 ,-1.945 ,0,0,0,0,0,0,0,0,0
NM_019513,Car5b,-,-,-,-,-,-0.096 ,0.166 ,0.016 ,-0.283 ,0.736 ,0,0,0,0,0,0,0,0,0
NM_001033329,Arhgef9,1,3,1.291 ,0.778 ,1.353 ,-0.043 ,0.236 ,0.015 ,-0.283 ,0.382 ,0,0,0,0,0,0,0,0,0
NM_001110790,Gpr112,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009666,Amelx,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009566,Zfp92,-,-,-,-,-,0.142 ,0.126 ,0.014 ,0.037 ,0.319 ,1,0,0,0,0,0,0,0,0
NM_021431,Nudt11,-,-,-,-,-,-0.162 ,0.119 ,0.093 ,-0.212 ,-0.246 ,0,0,0,0,0,0,0,0,0
NM_177750,Frmpd3,-,-,-,-,-,0.141 ,0.094 ,-0.050 ,-0.134 ,0.223 ,0,0,0,0,0,0,0,0,0
NM_001077361,Fhl1,-,-,-,-,-,-0.131 ,0.349 ,-0.214 ,-0.147 ,-0.084 ,0,0,0,0,0,0,0,0,0
NM_026167,Klhl13,-,-,-,-,-,-0.118 ,0.141 ,0.039 ,-0.096 ,-0.045 ,0,0,0,1,0,1,0,0,0
NM_001099310,Eg667736,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_178740,Slitrk4,-,-,-,-,-,0.172 ,0.084 ,-0.075 ,-0.084 ,0.203 ,0,0,0,0,0,0,0,0,0
NM_172435,P2ry10,-,-,-,-,-,-0.128 ,0.093 ,-0.063 ,0.301 ,-2.192 ,0,0,0,0,0,0,0,0,0
NM_177751,Cnksr2,-,-,-,-,-,-0.006 ,0.101 ,0.045 ,0.138 ,0.052 ,0,0,0,0,0,0,0,0,0
NM_026524,Mid1ip1,-,-,-,-,-,0.047 ,0.030 ,-0.215 ,0.030 ,0.798 ,0,0,0,0,0,0,0,0,0
NM_001025086,Rhox7,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001025083,Rhox12,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001099307,Eg636104,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_198105,Orf34,-,-,-,-,-,0.111 ,0.096 ,0.045 ,0.254 ,-1.929 ,1,1,0,0,0,0,0,0,0
NM_001009575,Armcx5,-,-,-,-,-,-0.133 ,0.090 ,-0.085 ,-0.061 ,-0.008 ,0,0,0,0,0,0,0,0,0
NM_008001,Fgd1,2,2,0.169 ,0.028 ,0.309 ,-0.129 ,0.171 ,-0.244 ,-0.326 ,-0.766 ,0,0,0,0,0,0,0,0,0
NM_001099306,Eg628518,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_172540,4732479n06rik,-,-,-,-,-,-0.005 ,0.089 ,-0.078 ,-0.190 ,-0.694 ,0,0,0,0,0,0,0,0,0
NM_018794,Atp6ap1,6,16,0.071 ,0.005 ,0.123 ,0.155 ,0.005 ,-0.026 ,0.067 ,1.069 ,0,0,0,0,0,0,0,0,0
NM_009515,Was,5,29,0.118 ,-0.110 ,0.241 ,0.088 ,0.046 ,-0.057 ,-0.001 ,1.150 ,0,0,0,0,0,0,0,0,0
NM_008823,Cfp,8,30,0.141 ,0.122 ,0.279 ,0.259 ,0.036 ,0.200 ,0.035 ,1.827 ,0,0,0,0,0,0,0,0,0
NM_016883,Psmd10,6,7,0.161 ,0.113 ,0.258 ,0.117 ,0.071 ,-0.019 ,0.143 ,0.376 ,0,0,0,0,0,0,0,0,0
NM_026469,1700025d03rik,-,-,-,-,-,-0.062 ,0.154 ,0.077 ,-0.104 ,0.048 ,0,0,0,0,0,0,0,0,0
NM_026887,Ap1s2,2,2,-1.536 ,-3.185 ,0.114 ,-0.027 ,0.022 ,-0.209 ,-0.146 ,2.458 ,0,0,0,0,0,0,0,0,0
NM_030066,Armcx1,-,-,-,-,-,0.672 ,0.152 ,1.021 ,0.364 ,-3.190 ,1,0,0,0,0,0,0,0,0
NM_001083937,Slc35a2,-,-,-,-,-,-0.124 ,0.088 ,-0.090 ,-0.129 ,-0.182 ,0,0,0,0,0,0,0,0,0
NM_027642,Phf6,1,2,-0.327 ,-0.328 ,-0.327 ,-0.234 ,0.119 ,0.293 ,0.251 ,-0.879 ,0,0,0,0,0,0,0,0,0
NM_008032,Aff2,-,-,-,-,-,0.007 ,0.285 ,-0.003 ,0.129 ,0.318 ,0,0,0,2,0,1,0,0,0
NM_001109757,Atp7a,-,-,-,-,-,-0.009 ,0.060 ,-0.342 ,-0.143 ,3.289 ,1,0,1,0,0,0,0,0,0
NM_019710,Smc1a,39,174,0.017 ,-0.131 ,0.132 ,-0.209 ,0.065 ,0.010 ,0.031 ,-0.124 ,0,0,0,0,1,0,0,0,0
NM_146236,Tceal1,-,-,-,-,-,0.026 ,0.140 ,-0.200 ,0.098 ,-0.199 ,0,0,0,0,0,0,0,0,0
NM_025410,Lage3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001033372,Gm648,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009197,Slc16a2,-,-,-,-,-,-0.215 ,0.110 ,0.149 ,-0.205 ,-0.013 ,0,0,0,0,0,0,0,0,0
NM_177920,Serpina7,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008784,Igbp1,4,6,-0.127 ,-0.135 ,-0.119 ,0.058 ,0.026 ,-0.217 ,0.057 ,-0.608 ,0,0,0,0,0,0,0,0,0
NM_016783,Pgrmc1,6,20,0.487 ,0.326 ,0.570 ,0.614 ,0.033 ,0.284 ,0.783 ,-1.410 ,0,1,1,0,0,0,0,0,0
NM_146234,Tmem32,1,3,-0.312 ,-0.652 ,-0.101 ,0.061 ,0.045 ,0.423 ,0.417 ,-0.325 ,1,0,0,0,0,0,0,0,0
NM_177353,Slc9a7,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_133990,Il13ra1,-,-,-,-,-,0.248 ,0.115 ,-0.034 ,-0.067 ,5.815 ,0,0,0,0,0,0,0,0,0
NM_016697,Gpc3,-,-,-,-,-,0.498 ,0.146 ,-0.032 ,0.636 ,1.271 ,0,0,0,0,0,0,0,0,0
NM_008810,Pdha1,15,51,0.110 ,0.043 ,0.161 ,-0.026 ,0.057 ,0.099 ,0.198 ,-0.634 ,0,0,0,0,0,0,0,0,0
NM_008754,Obp1a,-,-,-,-,-,-0.022 ,0.018 ,-0.108 ,-0.034 ,0.146 ,0,0,0,0,0,0,0,0,0
NM_011907,Trex2,-,-,-,-,-,0.061 ,0.097 ,0.169 ,0.067 ,0.143 ,0,0,0,0,0,0,0,0,0
NM_001114084,Dgat2l6,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_173747,Gpkow,-,-,-,-,-,0.091 ,0.014 ,-0.149 ,-0.072 ,0.170 ,0,0,0,0,0,0,0,0,0
NM_001033360,Gpr101,-,-,-,-,-,-0.002 ,0.156 ,0.087 ,-0.007 ,0.159 ,0,0,0,0,0,0,0,0,0
NM_026787,1110012l19rik,-,-,-,-,-,0.167 ,0.095 ,-0.111 ,0.153 ,-0.250 ,0,0,0,0,0,0,0,0,0
NM_026312,2610029g23rik,7,17,-0.038 ,-0.084 ,-0.011 ,-0.283 ,0.031 ,0.224 ,-0.231 ,-2.391 ,0,0,0,0,0,0,0,0,0
NM_011147,Ppef1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_010297,Glra4,-,-,-,-,-,0.105 ,0.081 ,0.173 ,0.085 ,0.241 ,0,0,0,0,0,0,0,0,0
NM_133213,Xpnpep2,-,-,-,-,-,0.041 ,0.053 ,0.124 ,-0.173 ,0.077 ,0,1,0,0,0,0,0,0,0
NM_001039061,Klhl15,-,-,-,-,-,0.243 ,0.058 ,0.203 ,0.327 ,-0.353 ,0,0,0,0,0,0,0,0,0
NM_028916,Efhc2,-,-,-,-,-,0.173 ,0.060 ,0.155 ,-0.018 ,-0.003 ,0,0,0,0,0,0,0,0,0
NM_007922,Elk1,-,-,-,-,-,0.347 ,0.062 ,0.084 ,-0.093 ,0.623 ,1,0,0,0,0,0,0,0,0
NM_008356,Il13ra2,-,-,-,-,-,0.104 ,0.108 ,0.202 ,0.052 ,-0.055 ,0,0,0,0,0,0,0,0,0
NM_001085506,Magea10,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_026055,Rpl39,1,3,-0.336 ,-0.339 ,-0.014 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001080549,Hdx,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_023500,Xk,-,-,-,-,-,0.122 ,0.134 ,0.301 ,-0.116 ,-0.981 ,0,0,0,1,1,1,0,0,0
NM_019582,Cacna1f,-,-,-,-,-,0.116 ,0.108 ,0.438 ,-0.148 ,-0.379 ,0,0,0,0,0,0,0,0,0
NM_172413,Rap2c,3,9,-0.266 ,-0.370 ,-0.210 ,-0.281 ,0.009 ,-0.031 ,-0.143 ,1.376 ,0,0,0,0,0,0,0,0,0
NM_019870,Ard1,-,-,-,-,-,-0.110 ,0.038 ,0.129 ,-0.055 ,-1.706 ,0,0,0,0,0,0,0,0,0
NM_016985,Mtmr1,-,-,-,-,-,-0.139 ,0.058 ,0.185 ,0.079 ,-0.197 ,0,0,0,0,0,0,0,0,0
NM_078484,Slc35a2,-,-,-,-,-,-0.159 ,0.092 ,0.124 ,-0.050 ,-0.190 ,0,0,0,0,0,0,0,0,0
NM_177915,Igsf1,-,-,-,-,-,0.033 ,0.110 ,0.035 ,-0.293 ,0.193 ,0,0,0,0,0,0,0,0,0
NM_008892,Pola1,26,64,0.172 ,0.105 ,0.323 ,-0.086 ,0.118 ,0.108 ,0.138 ,-2.059 ,0,0,0,0,0,0,0,0,0
NM_011081,Piga,-,-,-,-,-,0.127 ,0.048 ,-0.059 ,0.320 ,-1.749 ,0,0,0,0,0,0,0,0,0
NM_023144,Nono,12,205,0.070 ,-0.043 ,0.159 ,-0.019 ,0.037 ,0.050 ,0.002 ,-0.775 ,0,0,0,0,0,0,0,0,0
NM_016747,Dlg3,-,-,-,-,-,0.351 ,0.059 ,-0.435 ,-0.292 ,-1.303 ,1,0,1,0,0,0,0,0,0
NM_010273,Gdi1,18,43,0.322 ,0.258 ,0.395 ,0.213 ,0.113 ,-0.206 ,0.074 ,1.987 ,0,0,0,0,0,0,0,0,0
NM_016809,Rbm3,2,16,0.116 ,0.085 ,0.166 ,-0.130 ,0.256 ,0.035 ,-0.144 ,-0.670 ,0,0,0,0,0,0,0,0,0
NM_019397,Egfl6,-,-,-,-,-,0.097 ,0.133 ,-0.005 ,0.109 ,0.099 ,0,0,0,0,0,0,0,0,0
NM_145406,Slc10a3,-,-,-,-,-,-0.077 ,0.050 ,0.098 ,-0.074 ,0.112 ,0,0,0,0,0,0,0,0,0
NM_011123,Plp1,-,-,-,-,-,0.001 ,0.356 ,0.002 ,0.042 ,-0.379 ,0,0,0,0,0,0,0,0,0
NM_207267,4930488e11rik,-,-,-,-,-,0.060 ,0.065 ,-0.424 ,-0.323 ,-2.258 ,0,0,0,0,0,0,0,0,0
NM_009428,Trpc5,-,-,-,-,-,0.093 ,0.142 ,0.079 ,0.011 ,0.064 ,0,0,0,0,0,0,0,0,0
NM_027227,Glod5,-,-,-,-,-,0.101 ,0.109 ,0.197 ,0.071 ,-0.030 ,0,0,0,0,0,0,0,0,0
NM_183126,6030498e09rik,-,-,-,-,-,-0.057 ,0.039 ,-0.132 ,0.154 ,0.359 ,0,0,0,1,0,0,0,0,0
NM_030139,Zfp449,-,-,-,-,-,0.017 ,0.140 ,-0.256 ,-0.255 ,-0.921 ,0,0,0,0,0,0,0,0,0
NM_001033211,Au022751,-,-,-,-,-,0.123 ,0.083 ,0.057 ,0.094 ,0.236 ,0,0,0,0,0,0,0,0,0
NM_019791,Maged1,-,-,-,-,-,-0.219 ,0.165 ,0.102 ,0.218 ,-2.038 ,0,0,0,0,0,0,0,0,0
NM_001039060,Klhl15,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_013840,Uxt,2,2,-0.525 ,-0.580 ,-0.469 ,0.311 ,0.015 ,0.100 ,0.399 ,-0.962 ,0,0,0,1,0,0,0,0,0
NM_031384,Tex11,-,-,-,-,-,-0.168 ,0.209 ,-0.026 ,-0.246 ,-0.067 ,0,0,0,0,0,0,0,0,0
NM_172465,Zdhhc9,-,-,-,-,-,-0.246 ,0.018 ,-0.226 ,-0.333 ,1.487 ,0,0,0,0,0,0,0,0,0
NM_145956,Brcc3,6,17,0.107 ,-0.005 ,0.354 ,-0.080 ,0.064 ,0.118 ,0.121 ,-0.988 ,0,0,0,0,0,0,0,0,0
NM_010941,Nsdhl,8,15,-0.065 ,-0.179 ,-0.043 ,-0.199 ,0.199 ,-0.373 ,-0.213 ,0.393 ,0,0,0,0,0,0,0,0,0
NM_175147,Etd,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_021550,C1galt1c1,-,-,-,-,-,0.199 ,0.042 ,0.096 ,0.133 ,0.682 ,0,0,0,0,0,0,0,0,0
NM_008224,Hcfc1,26,240,0.060 ,-0.019 ,0.148 ,-0.084 ,0.039 ,0.249 ,-0.001 ,-0.473 ,0,0,0,0,0,1,0,0,0
NM_026853,Asb11,-,-,-,-,-,-0.023 ,0.124 ,0.165 ,-0.132 ,0.093 ,0,0,0,0,0,0,0,0,0
NM_181751,Gpr119,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0
NM_001110142,Cul4b,15,28,0.243 ,0.097 ,0.410 ,0.463 ,0.034 ,0.383 ,0.601 ,-0.187 ,1,0,0,0,0,0,0,0,0
NM_001033785,Akap14,-,-,-,-,-,0.007 ,0.094 ,0.154 ,0.126 ,0.311 ,0,0,0,0,0,0,0,0,0
NM_001081669,Rhox2d,-,-,-,-,-,-0.011 ,0.058 ,-0.133 ,-0.340 ,0.215 ,0,0,0,0,0,0,0,0,0
NM_001083110,Pja1,-,-,-,-,-,-0.134 ,0.104 ,0.033 ,0.186 ,-2.254 ,0,0,0,0,0,0,0,0,0
NM_019587,Plxnb3,-,-,-,-,-,0.183 ,0.058 ,0.139 ,0.019 ,0.395 ,0,0,0,0,0,1,0,0,0
NM_012040,Pnck,-,-,-,-,-,-0.017 ,0.057 ,-0.021 ,-0.138 ,0.009 ,0,0,0,0,0,0,0,0,0
NM_009173,Siah1b,-,-,-,-,-,-0.199 ,0.039 ,-0.029 ,-0.155 ,-0.632 ,0,0,0,0,0,1,0,0,0
NM_016764,Prdx4,5,34,-0.023 ,-0.111 ,0.048 ,-0.092 ,0.150 ,-0.096 ,0.058 ,-1.104 ,0,0,0,0,1,1,0,0,0
NM_001085497,Slc25a43,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0
NM_053185,Col4a6,-,-,-,-,-,-0.076 ,0.083 ,-0.314 ,-0.031 ,0.079 ,0,0,0,0,0,0,0,0,0
NM_001007577,A630018p17rik,-,-,-,-,-,0.215 ,0.121 ,-0.172 ,0.103 ,0.604 ,0,0,1,0,0,0,0,0,0
NM_018818,Chm,7,12,0.248 ,0.076 ,0.281 ,0.216 ,0.040 ,-0.122 ,0.069 ,1.259 ,0,0,0,0,0,0,0,0,0
NM_029891,Nkrf,-,-,-,-,-,-0.409 ,0.121 ,0.067 ,0.047 ,-3.710 ,0,0,0,0,0,0,0,0,0
NM_201236,Rhox4e,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_033605,Dach2,-,-,-,-,-,-0.134 ,0.202 ,0.271 ,-0.135 ,-0.571 ,0,0,0,0,0,0,0,0,0
NM_138630,Arhgap4,18,56,0.110 ,0.004 ,0.203 ,0.069 ,0.017 ,-0.389 ,0.026 ,2.484 ,0,0,0,0,0,0,0,0,0
NM_138603,Ccdc22,15,24,0.098 ,-0.005 ,0.219 ,0.233 ,0.089 ,0.105 ,0.191 ,-1.152 ,0,0,0,0,0,0,0,0,0
NM_029590,1700010d01rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_177704,Sytl5,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_138309,Cd99l2,-,-,-,-,-,0.108 ,0.155 ,-0.090 ,-0.431 ,-0.646 ,0,0,1,0,0,0,0,0,0
NM_028958,Taf7l,-,-,-,-,-,-0.029 ,0.101 ,-0.097 ,-0.005 ,0.262 ,0,0,0,0,0,0,0,0,0
NM_001081385,Pcdh11x,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011712,Wbp5,-,-,-,-,-,0.236 ,0.029 ,-0.170 ,0.202 ,-0.503 ,0,0,0,0,0,0,0,0,0
NM_031382,Tex16,-,-,-,-,-,-0.027 ,0.046 ,-0.043 ,-0.164 ,0.142 ,0,0,0,0,0,0,0,0,0
NM_011252,Rbmx,5,25,0.020 ,-0.057 ,0.203 ,0.038 ,0.177 ,0.311 ,-0.069 ,-0.754 ,0,0,0,0,0,0,0,0,0
NM_027027,Asb9,-,-,-,-,-,0.118 ,0.101 ,-0.062 ,-0.184 ,0.351 ,0,0,0,0,0,0,0,0,0
NM_009757,Bmp15,-,-,-,-,-,-0.146 ,0.045 ,0.163 ,-0.370 ,-0.499 ,0,0,0,0,0,0,0,0,0
NM_027512,3830417a13rik,-,-,-,-,-,0.137 ,0.031 ,-0.091 ,0.207 ,0.525 ,0,0,0,0,0,0,0,0,0
NM_001081661,4930524e20rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001081173,Lrch2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_199319,Ssxb5,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0
NM_001034907,Zc3h12b,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001077354,C77370,-,-,-,-,-,0.078 ,0.074 ,0.043 ,0.147 ,0.071 ,0,0,0,0,0,0,0,1,0
NM_008446,Kif4,2,5,-0.191 ,-0.388 ,-0.053 ,-0.014 ,0.110 ,0.018 ,-0.138 ,-0.087 ,0,1,0,0,1,1,0,0,1
NM_021521,Med12,-,-,-,-,-,-0.066 ,0.037 ,-0.079 ,0.125 ,0.388 ,0,0,0,0,2,1,0,0,0
NM_016763,Hsd17b10,10,48,0.184 ,0.133 ,0.320 ,0.201 ,0.068 ,-0.020 ,0.265 ,-0.180 ,0,0,0,0,0,0,0,0,0
NM_181516,Taz,-,-,-,-,-,0.153 ,0.058 ,-0.102 ,-0.121 ,0.300 ,0,0,0,0,0,0,0,0,0
NM_146261,Bc031748,-,-,-,-,-,0.113 ,0.039 ,0.288 ,0.512 ,-0.370 ,1,0,1,0,0,0,0,0,0
NM_198898,Ssxb3,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0
NM_020019,Magea6,-,-,-,-,-,0.044 ,0.173 ,-0.035 ,-0.206 ,0.358 ,0,0,0,0,0,0,0,0,0
NM_001081671,1700042b14rik,-,-,-,-,-,0.176 ,0.100 ,-0.135 ,0.114 ,0.268 ,0,0,0,0,0,0,0,0,0
NM_001030307,Dkc1,15,136,-0.087 ,-0.180 ,-0.004 ,-0.367 ,0.087 ,0.223 ,-0.319 ,-4.920 ,0,0,0,0,0,0,0,0,0
NM_172782,Nxt2,-,-,-,-,-,0.393 ,0.113 ,0.009 ,0.029 ,-0.130 ,0,0,1,0,0,0,0,0,0
NM_175540,Eda2r,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_007435,Abcd1,14,33,-0.024 ,-0.185 ,0.128 ,-0.049 ,0.031 ,-0.112 ,-0.180 ,0.984 ,0,0,0,0,0,0,0,0,0
NM_009759,Bmx,-,-,-,-,-,0.615 ,0.057 ,-0.029 ,0.412 ,3.502 ,0,0,1,0,0,0,0,0,0
NM_012019,Aifm1,19,104,-0.035 ,-0.107 ,0.044 ,-0.296 ,0.030 ,-0.058 ,-0.088 ,-1.539 ,0,0,0,0,1,0,0,0,0
NM_138602,Praf2,-,-,-,-,-,-0.110 ,0.012 ,0.008 ,0.171 ,-0.526 ,0,0,0,0,0,0,0,0,0
NM_178256,Reps2,-,-,-,-,-,0.081 ,0.154 ,0.100 ,0.101 ,-0.087 ,0,0,1,0,0,0,0,0,0
NM_011285,Rpgr,-,-,-,-,-,0.026 ,0.212 ,-0.138 ,-0.420 ,-1.191 ,0,0,0,0,0,0,0,0,0
NM_001005385,Gprasp1,-,-,-,-,-,-0.121 ,0.051 ,-0.207 ,-0.132 ,-0.090 ,0,0,0,0,0,0,0,1,0
NM_001009947,Dock11,30,79,0.110 ,-0.027 ,0.267 ,0.069 ,0.046 ,-0.129 ,0.025 ,0.524 ,0,0,0,0,1,1,0,0,0
NM_025437,Eif1ay,3,14,0.111 ,0.061 ,0.416 ,0.282 ,0.083 ,0.389 ,0.757 ,-1.466 ,0,0,0,0,0,0,0,0,0
NM_008955,Rhox6,-,-,-,-,-,-0.005 ,0.061 ,-0.014 ,0.064 ,0.243 ,0,0,0,0,0,0,0,0,0
NM_010951,Gpr143,-,-,-,-,-,-0.030 ,0.163 ,-0.128 ,-0.210 ,0.272 ,0,0,0,0,0,0,0,0,0
NM_011049,Pctk1,2,31,0.138 ,0.032 ,0.179 ,-0.030 ,0.088 ,-0.138 ,0.032 ,-0.473 ,0,0,0,0,0,0,0,0,0
NM_172441,Shroom2,-,-,-,-,-,-0.058 ,0.082 ,-0.028 ,-0.260 ,-0.213 ,0,0,0,0,0,0,0,0,0
NM_001001450,Ssxb2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009688,Xiap,-,-,-,-,-,0.147 ,0.021 ,-0.125 ,0.070 ,0.769 ,0,1,1,0,0,0,0,0,0
NM_009453,Zrsr2,-,-,-,-,-,0.033 ,0.189 ,0.061 ,-0.137 ,-0.080 ,0,0,0,0,0,0,0,0,0
NM_017398,Diap2,13,25,0.167 ,0.044 ,0.376 ,0.105 ,0.106 ,-0.104 ,0.255 ,1.083 ,0,0,0,0,0,0,0,0,0
NM_008821,Pet2,-,-,-,-,-,0.112 ,0.047 ,-0.107 ,0.178 ,0.333 ,0,0,0,0,0,0,0,0,0
NM_013556,Hprt1,12,106,0.195 ,0.134 ,0.224 ,0.028 ,0.032 ,-0.021 ,0.086 ,-0.705 ,0,0,0,0,0,0,0,0,0
NM_177592,Tmem164,-,-,-,-,-,-0.403 ,0.016 ,-0.361 ,-0.201 ,0.988 ,0,0,0,0,0,0,0,0,0
NM_025921,2610002m06rik,-,-,-,-,-,-0.015 ,0.063 ,-0.005 ,-0.144 ,-0.766 ,0,0,0,0,0,0,0,0,0
NM_173436,Cypt2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_212444,Gyk,5,11,0.154 ,0.147 ,0.168 ,-0.245 ,0.102 ,0.044 ,-0.178 ,1.207 ,1,0,0,0,0,0,0,0,0
NM_172779,Ddx26b,-,-,-,-,-,-0.032 ,0.194 ,-0.177 ,0.019 ,1.608 ,0,0,0,0,0,0,0,0,0
NM_009575,Zic3,-,-,-,-,-,0.026 ,0.105 ,-0.145 ,0.053 ,0.268 ,0,0,0,0,0,0,0,0,0
NM_175180,Wdr44,6,11,0.220 ,0.204 ,0.328 ,0.020 ,0.142 ,-0.071 ,0.189 ,1.018 ,0,0,0,0,1,0,0,1,0
NM_183319,Xkrx,-,-,-,-,-,-0.032 ,0.090 ,0.024 ,-0.105 ,0.373 ,0,0,0,0,0,0,0,0,0
NM_001110311,Snx12,7,19,0.038 ,-0.032 ,0.071 ,-0.085 ,0.036 ,0.000 ,-0.137 ,-0.155 ,0,0,0,0,0,0,0,0,0
NM_001031664,Nudt10,-,-,-,-,-,0.257 ,0.141 ,0.084 ,0.017 ,0.087 ,0,0,0,0,0,0,0,0,0
NM_018832,Magix,-,-,-,-,-,-0.196 ,0.067 ,-0.029 ,-0.059 ,0.436 ,0,0,0,0,0,0,0,0,0
NM_009703,Araf,-,-,-,-,-,-0.081 ,0.014 ,-0.004 ,0.060 ,-0.046 ,0,0,0,0,0,0,0,0,0
NM_001033541,Eg331493,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0
NM_199317,Phf16,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_019404,Avpr2,-,-,-,-,-,0.026 ,0.060 ,0.013 ,-0.251 ,0.421 ,0,0,0,0,0,0,0,0,0
NM_054039,Foxp3,-,-,-,-,-,0.071 ,0.162 ,0.248 ,0.055 ,-0.271 ,0,0,0,0,0,0,0,0,0
NM_007927,Emd,6,10,-0.247 ,-0.422 ,0.126 ,-0.097 ,0.100 ,-0.109 ,-0.047 ,0.248 ,0,0,0,0,0,0,0,0,0
NM_207633,Yipf6,-,-,-,-,-,0.346 ,0.069 ,0.097 ,0.103 ,-0.925 ,1,0,0,0,0,0,0,0,0
NM_019736,Acot9,7,15,0.261 ,0.198 ,0.289 ,-0.041 ,0.073 ,-0.014 ,0.136 ,0.364 ,0,0,0,0,0,0,0,0,0
NM_008222,Hccs,8,13,0.208 ,0.106 ,0.326 ,0.038 ,0.044 ,0.131 ,0.049 ,-0.640 ,0,0,0,0,0,0,0,0,0
NM_009060,Rgn,-,-,-,-,-,0.003 ,0.113 ,0.008 ,-0.019 ,0.222 ,0,0,0,0,0,0,0,0,0
NM_177919,Tceal5,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011845,Mid2,-,-,-,-,-,0.204 ,0.030 ,-0.048 ,0.025 ,0.235 ,0,0,0,0,0,0,0,0,0
NM_010227,Flna,3,25,0.223 ,-0.174 ,1.016 ,-0.103 ,0.046 ,-0.134 ,-0.078 ,1.946 ,0,0,0,0,0,1,0,0,0
NM_008478,L1cam,-,-,-,-,-,-0.016 ,0.038 ,-0.049 ,-0.225 ,2.401 ,0,0,0,0,0,0,0,0,0
NM_010286,Tsc22d3,-,-,-,-,-,0.302 ,0.030 ,-0.174 ,-0.047 ,0.909 ,0,0,0,0,0,0,0,0,0
NM_001024141,Nxf3,-,-,-,-,-,0.186 ,0.079 ,-0.093 ,-0.066 ,0.055 ,0,0,0,0,0,0,0,0,0
NM_001113354,Phf8,-,-,-,-,-,0.207 ,0.051 ,0.120 ,0.184 ,0.708 ,1,0,0,0,0,0,0,0,0
NM_152822,Las1l,3,5,-0.283 ,-0.519 ,-0.088 ,-0.351 ,0.086 ,0.263 ,0.433 ,-2.324 ,0,0,0,0,0,0,0,0,0
NM_145628,Usp11,-,-,-,-,-,-0.254 ,0.079 ,-0.307 ,0.064 ,-2.670 ,0,0,0,0,0,0,0,0,0
